00:30:10.712 | Info | '/transaction/getNetworkType' | 
00:30:30.303 | Info | '/transaction/getDeviceType' | 
00:30:32.073 | Info | '/transaction/getNetworkType' | 
00:30:33.760 | Info | '/transaction/getRolesType' | 
00:30:36.146 | Info | '/transaction/getCustomerType' | 
00:31:13.557 | Info | '/transaction/createCustomerType' | 
00:31:13.576 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
00:31:13.618 | Info | '/transaction/getCustomerType' | 
00:34:38.547 | Info | '/transaction/createCustomerType' | 
00:34:38.553 | Info | ({'message':'Column \'password\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'password\' cannot be null'}) | 
00:52:39.857 | Info | '/transaction/getCustomerType' | 
00:53:36.104 | Info | '/api/user/login' | 
00:53:38.410 | Info | '/transaction/getCustomerType' | 
00:53:41.184 | Info | '/transaction/getCustomerType' | 
00:53:58.178 | Info | '/transaction/getCustomersDetails' | 
00:54:10.212 | Info | '/transaction/getCustomerType' | 
00:54:12.065 | Info | '/transaction/getCustomerType' | 
00:54:40.121 | Info | '/transaction/getCustomersDetails' | 
00:54:43.431 | Info | '/transaction/getCustomerType' | 
00:54:44.540 | Info | '/transaction/getCustomerType' | 
00:54:46.728 | Info | '/transaction/getCustomersDetails' | 
00:54:55.656 | Info | '/transaction/getCustomersDetails' | 
00:54:58.189 | Info | '/transaction/getCustomerType' | 
00:54:59.423 | Info | '/transaction/getCustomerType' | 
00:55:01.048 | Info | '/transaction/getCustomersDetails' | 
00:55:11.521 | Info | '/transaction/getCustomerType' | 
00:55:13.388 | Info | '/transaction/getCustomerType' | 
00:55:14.651 | Info | '/transaction/getCustomerType' | 
00:55:17.027 | Info | '/transaction/getCustomerType' | 
00:56:06.221 | Info | '/transaction/getCustomerType' | 
00:56:15.266 | Info | '/transaction/getCustomerType' | 
00:56:18.315 | Info | '/transaction/getCustomerType' | 
00:56:22.713 | Info | '/transaction/getDeviceType' | 
00:56:33.266 | Info | '/transaction/createDeviceType' | 
00:56:33.308 | Info | '/transaction/getDeviceType' | 
00:56:46.238 | Info | '/transaction/createDeviceType' | 
00:56:46.289 | Info | '/transaction/getDeviceType' | 
00:56:49.994 | Info | '/transaction/getCustomerType' | 
00:58:54.416 | Info | '/transaction/getDeviceType' | 
00:58:55.785 | Info | '/transaction/getDeviceType' | 
00:58:57.269 | Info | '/transaction/getCustomerType' | 
00:58:59.096 | Info | '/transaction/getCustomerType' | 
00:59:09.068 | Info | '/transaction/getCustomerType' | 
00:59:30.996 | Info | '/transaction/createCustomerType' | 
00:59:31.008 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
00:59:31.056 | Info | '/transaction/getCustomerType' | 
01:00:32.932 | Info | '/transaction/getCustomerType' | 
01:00:34.861 | Info | '/transaction/getCustomerType' | 
01:00:37.558 | Info | '/transaction/getCustomerType' | 
01:00:39.344 | Info | '/transaction/getCustomerType' | 
01:02:34.588 | Info | '/transaction/getCustomerType' | 
01:02:41.914 | Info | '/transaction/getCustomerType' | 
01:03:05.856 | Info | '/transaction/createCustomerType' | 
01:03:05.873 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
01:03:05.898 | Info | '/transaction/getCustomerType' | 
01:05:27.132 | Info | '/transaction/getCustomerType' | 
01:05:56.468 | Info | '/transaction/createCustomerType' | 
01:05:56.473 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
01:05:56.523 | Info | '/transaction/getCustomerType' | 
01:06:51.093 | Info | '/transaction/getCustomerType' | 
01:06:56.378 | Info | '/transaction/getDeviceType' | 
01:06:57.918 | Info | '/transaction/getCustomerType' | 
01:07:07.930 | Info | '/transaction/getDeviceType' | 
01:08:19.636 | Info | '/transaction/getCustomerType' | 
01:08:20.848 | Info | '/transaction/getCustomerType' | 
01:08:26.505 | Info | '/transaction/getCustomersDetails' | 
01:08:31.345 | Info | '/transaction/getCustomerType' | 
01:08:53.654 | Info | '/transaction/createCustomerType' | 
01:08:53.659 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
01:08:53.692 | Info | '/transaction/getCustomerType' | 
01:09:35.670 | Info | '/transaction/getCustomersDetails' | 
01:10:20.525 | Info | '/transaction/getCustomerType' | 
01:11:11.554 | Info | '/transaction/getCustomerType' | 
01:11:35.392 | Info | '/transaction/createCustomerType' | 
01:11:35.404 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
01:11:35.416 | Info | '/transaction/getCustomerType' | 
01:13:07.954 | Info | '/transaction/getCustomerType' | 
01:13:10.102 | Info | '/transaction/getCustomersDetails' | 
01:13:34.123 | Info | '/transaction/getCustomersDetails' | 
01:14:24.124 | Info | '/transaction/getCustomersDetails' | 
01:14:29.867 | Info | '/transaction/getCustomersDetails' | 
01:14:52.133 | Info | '/transaction/getCustomersDetails' | 
01:14:55.114 | Info | '/transaction/getCustomersDetails' | 
01:15:02.118 | Info | '/transaction/getCustomersDetails' | 
01:15:08.733 | Info | '/transaction/getCustomersDetails' | 
01:15:24.138 | Info | '/transaction/getCustomersDetails' | 
01:15:31.471 | Info | '/transaction/getCustomerType' | 
01:15:32.502 | Info | '/transaction/getCustomerType' | 
01:15:34.564 | Info | '/transaction/getCustomersDetails' | 
01:15:50.111 | Info | '/transaction/getCustomersDetails' | 
01:16:02.133 | Info | '/transaction/getCustomersDetails' | 
01:16:15.114 | Info | '/transaction/getCustomersDetails' | 
01:16:23.116 | Info | '/transaction/getCustomersDetails' | 
01:16:30.119 | Info | '/transaction/getCustomersDetails' | 
01:16:34.110 | Info | '/transaction/getCustomersDetails' | 
01:16:43.135 | Info | '/transaction/getCustomersDetails' | 
01:16:48.113 | Info | '/transaction/getCustomersDetails' | 
01:16:54.120 | Info | '/transaction/getCustomersDetails' | 
01:17:11.117 | Info | '/transaction/getCustomersDetails' | 
01:17:46.132 | Info | '/transaction/getCustomersDetails' | 
01:17:54.126 | Info | '/transaction/getCustomersDetails' | 
01:18:00.112 | Info | '/transaction/getCustomersDetails' | 
01:18:02.110 | Info | '/transaction/getCustomersDetails' | 
01:18:04.781 | Info | '/transaction/getCustomersDetails' | 
01:18:19.122 | Info | '/transaction/getCustomersDetails' | 
01:18:25.125 | Info | '/transaction/getCustomersDetails' | 
01:18:27.119 | Info | '/transaction/getCustomersDetails' | 
